LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,,
2,Queens,Jamaica Bay,Boro Zone,40.6039936,-73.8354124
3,Bronx,Allerton/Pelham Gardens,Boro Zone,,
4,Manhattan,Alphabet City,Yellow Zone,40.7251022,-73.9795833
5,Staten Island,Arden Heights,Boro Zone,40.5636999,-74.1916032
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,
7,Queens,Astoria,Boro Zone,40.7720145,-73.9302673
8,Queens,Astoria Park,Boro Zone,40.7788277,-73.922658
9,Queens,Auburndale,Boro Zone,40.7614516,-73.7897239
10,Queens,Baisley Park,Boro Zone,40.6759206,-73.7849649
11,Brooklyn,Bath Beach,Boro Zone,40.5964509,-73.9946593
12,Manhattan,Battery Park,Yellow Zone,40.702786,-74.0157731
13,Manhattan,Battery Park City,Yellow Zone,40.7110166,-74.0169369
14,Brooklyn,Bay Ridge,Boro Zone,40.6320062,-74.0232101
15,Queens,Bay Terrace/Fort Totten,Boro Zone,,
16,Queens,Bayside,Boro Zone,40.7684351,-73.7770774
17,Brooklyn,Bedford,Boro Zone,40.7187387,-73.9569017
18,Bronx,Bedford Park,Boro Zone,40.8700999,-73.8856912
19,Queens,Bellerose,Boro Zone,40.7327778,-73.7177778
20,Bronx,Belmont,Boro Zone,40.8552778,-73.8863889
21,Brooklyn,Bensonhurst East,Boro Zone,,
22,Brooklyn,Bensonhurst West,Boro Zone,,
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,
24,Manhattan,Bloomingdale,Yellow Zone,40.7997764,-73.9677716
25,Brooklyn,Boerum Hill,Boro Zone,40.6856261,-73.9841707
26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.9968059
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,
28,Queens,Briarwood/Jamaica Hills,Boro Zone,,
29,Brooklyn,Brighton Beach,Boro Zone,40.5796437,-73.9611102
30,Queens,Broad Channel,Boro Zone,40.6080187,-73.8158007
31,Bronx,Bronx Park,Boro Zone,40.8588468,-73.8759038
32,Bronx,Bronxdale,Boro Zone,40.8506558,-73.8665241
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6960849,-73.9950297
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.6997716,-73.9753359
35,Brooklyn,Brownsville,Boro Zone,40.665306,-73.9124755
36,Brooklyn,Bushwick North,Boro Zone,,
37,Brooklyn,Bushwick South,Boro Zone,40.6942867,-73.9258836
38,Queens,Cambria Heights,Boro Zone,40.6945474,-73.7384653
39,Brooklyn,Canarsie,Boro Zone,40.643715,-73.9006921
40,Brooklyn,Carroll Gardens,Boro Zone,40.6784201,-73.9948021
41,Manhattan,Central Harlem,Boro Zone,40.7942137,-73.9513059
42,Manhattan,Central Harlem North,Boro Zone,,
43,Manhattan,Central Park,Yellow Zone,40.7827725,-73.9653627
44,Staten Island,Charleston/Tottenville,Boro Zone,,
45,Manhattan,Chinatown,Yellow Zone,40.7164913,-73.9962504
46,Bronx,City Island,Boro Zone,40.8474333,-73.7864295
47,Bronx,Claremont/Bathgate,Boro Zone,,
48,Manhattan,Clinton East,Yellow Zone,40.7212687,-73.9836882
49,Brooklyn,Clinton Hill,Boro Zone,40.6897222,-73.9652778
50,Manhattan,Clinton West,Yellow Zone,40.7627812,-73.9917305
51,Bronx,Co-Op City,Boro Zone,40.8741547,-73.8291695
52,Brooklyn,Cobble Hill,Boro Zone,40.687547,-73.9973352
53,Queens,College Point,Boro Zone,40.7876014,-73.8459682
54,Brooklyn,Columbia Street,Boro Zone,40.6800323,-74.0050847
55,Brooklyn,Coney Island,Boro Zone,40.5765081,-73.9929419
56,Queens,Corona,Boro Zone,40.7469593,-73.8601456
57,Queens,Corona,Boro Zone,40.7469593,-73.8601456
58,Bronx,Country Club,Boro Zone,40.8391667,-73.8197222
59,Bronx,Crotona Park,Boro Zone,40.8388132,-73.8923985
60,Bronx,Crotona Park East,Boro Zone,40.8366165,-73.8927012
61,Brooklyn,Crown Heights North,Boro Zone,,
62,Brooklyn,Crown Heights South,Boro Zone,,
63,Brooklyn,Cypress Hills,Boro Zone,40.6770477,-73.8912474
64,Queens,Douglaston,Boro Zone,40.768358,-73.7492477
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,,
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,,
67,Brooklyn,Dyker Heights,Boro Zone,40.6204716,-74.0116668
68,Manhattan,East Chelsea,Yellow Zone,40.7534749,-74.002058
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.8237393,-73.9193813
70,Queens,East Elmhurst,Boro Zone,40.7612123,-73.8651358
71,Brooklyn,East Flatbush/Farragut,Boro Zone,,
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,,
73,Queens,East Flushing,Boro Zone,40.7575366,-73.7843045
74,Manhattan,East Harlem North,Boro Zone,,
75,Manhattan,East Harlem South,Boro Zone,,
76,Brooklyn,East New York,Boro Zone,40.6667702,-73.8823583
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.6753999,-73.8963739
78,Bronx,East Tremont,Boro Zone,40.8453781,-73.8909693
79,Manhattan,East Village,Yellow Zone,40.7292688,-73.9873613
80,Brooklyn,East Williamsburg,Boro Zone,40.7217726,-73.9621944
81,Bronx,Eastchester,Boro Zone,40.8884329,-73.8281895
82,Queens,Elmhurst,Boro Zone,40.7365804,-73.8783932
83,Queens,Elmhurst/Maspeth,Boro Zone,,
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,,
85,Brooklyn,Erasmus,Boro Zone,40.6495482,-73.9559714
86,Queens,Far Rockaway,Boro Zone,40.6053825,-73.7551326
87,Manhattan,Financial District North,Yellow Zone,,
88,Manhattan,Financial District South,Yellow Zone,40.7428026,-73.9841476
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.6402827,-73.9608693
90,Manhattan,Flatiron,Yellow Zone,40.7410592,-73.9896416
91,Brooklyn,Flatlands,Boro Zone,40.6212155,-73.9348597
92,Queens,Flushing,Boro Zone,40.7654301,-73.8174291
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.740569,-73.8428304
94,Bronx,Fordham South,Boro Zone,,
95,Queens,Forest Hills,Boro Zone,40.7231009,-73.8466125
96,Queens,Forest Park/Highland Park,Boro Zone,,
97,Brooklyn,Fort Greene,Boro Zone,40.6912096,-73.9744054
98,Queens,Fresh Meadows,Boro Zone,40.7348246,-73.7934668
99,Staten Island,Freshkills Park,Boro Zone,40.5777439,-74.1799733
100,Manhattan,Garment District,Yellow Zone,40.7536941,-73.9905167
101,Queens,Glen Oaks,Boro Zone,40.7470463,-73.7115199
102,Queens,Glendale,Boro Zone,40.7014917,-73.8868028
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
106,Brooklyn,Gowanus,Boro Zone,40.6791695,-73.9885041
107,Manhattan,Gramercy,Yellow Zone,40.7355189,-73.9840794
108,Brooklyn,Gravesend,Boro Zone,40.5961338,-73.9739426
109,Staten Island,Great Kills,Boro Zone,40.5542718,-74.1515318
110,Staten Island,Great Kills Park,Boro Zone,40.5436508,-74.1261469
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.652203,-73.9910769
112,Brooklyn,Greenpoint,Boro Zone,40.7237134,-73.9509714
113,Manhattan,Greenwich Village North,Yellow Zone,,
114,Manhattan,Greenwich Village South,Yellow Zone,40.7335844,-74.0028172
115,Staten Island,Grymes Hill/Clifton,Boro Zone,,
116,Manhattan,Hamilton Heights,Boro Zone,40.8241451,-73.9500618
117,Queens,Hammels/Arverne,Boro Zone,,
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,,
119,Bronx,Highbridge,Boro Zone,40.8365324,-73.9295956
120,Manhattan,Highbridge Park,Boro Zone,40.8459506,-73.9299061
121,Queens,Hillcrest/Pomonok,Boro Zone,40.7237232,-73.8085956
122,Queens,Hollis,Boro Zone,40.7134361,-73.7670772
123,Brooklyn,Homecrest,Boro Zone,40.5861133,-73.9572994
124,Queens,Howard Beach,Boro Zone,40.6610254,-73.8295605
125,Manhattan,Hudson Sq,Yellow Zone,40.7268035,-74.0079833
126,Bronx,Hunts Point,Boro Zone,40.8126008,-73.8840247
127,Manhattan,Inwood,Boro Zone,40.8692579,-73.9204949
128,Manhattan,Inwood Hill Park,Boro Zone,40.8722736,-73.9254271
129,Queens,Jackson Heights,Boro Zone,40.7556561,-73.8857755
130,Queens,Jamaica,Boro Zone,40.699835,-73.8077023
131,Queens,Jamaica Estates,Boro Zone,40.7133456,-73.782511
132,Queens,JFK Airport,Airports,40.6429479,-73.7793734
133,Brooklyn,Kensington,Boro Zone,40.6462149,-73.970694
134,Queens,Kew Gardens,Boro Zone,40.7139415,-73.830742
135,Queens,Kew Gardens Hills,Boro Zone,40.7259897,-73.8207633
136,Bronx,Kingsbridge Heights,Boro Zone,40.8725702,-73.9026619
137,Manhattan,Kips Bay,Yellow Zone,40.7395463,-73.9770832
138,Queens,LaGuardia Airport,Airports,40.7757145,-73.873364
139,Queens,Laurelton,Boro Zone,40.6667703,-73.7515212
140,Manhattan,Lenox Hill East,Yellow Zone,40.7706585,-73.9541429
141,Manhattan,Lenox Hill West,Yellow Zone,,
142,Manhattan,Lincoln Square East,Yellow Zone,40.7362448,-73.9900668
143,Manhattan,Lincoln Square West,Yellow Zone,40.7725184,-73.9842184
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,,
145,Queens,Long Island City/Hunters Point,Boro Zone,40.7415095,-73.9569751
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.7506498,-73.9388368
147,Bronx,Longwood,Boro Zone,40.8162916,-73.8962205
148,Manhattan,Lower East Side,Yellow Zone,40.7159357,-73.9868057
149,Brooklyn,Madison,Boro Zone,40.6105009,-73.9476585
150,Brooklyn,Manhattan Beach,Boro Zone,40.5779176,-73.9440833
151,Manhattan,Manhattan Valley,Yellow Zone,40.7997764,-73.9677716
152,Manhattan,Manhattanville,Boro Zone,40.8157775,-73.951554
